ID,Course Title,Course Description,Training Company,Course Fee,Course Fee after Maximum Subsidiy,Course Type,Course Duration,Course Hours,No. of Learners,No. of Learners who Rated,Ratings out of 5,Year of Course Introduced
1507,"Empowering Patient Organisations: Navigating Healthcare Ecosystem, Economics and Engagement","This course equips patient leaders with essential skills and knowledge to navigate Singapore's healthcare ecosystem and contribute effectively to decision-making processes. Participants gain a comprehensive understanding of the healthcare landscape, including its financing model and stakeholder dynamics. Through theoretical exploration and practical exercises, attendees learn about health economics, drug development, and patient advocacy. The course emphasizes Singapore's unique approach to universal health coverage and health equity, empowering participants to drive positive change and enhance patient outcomes within the healthcare system.",Singapore University Of Social Sciences,1100,330,Part time,1-2 days,11.25,,,,2024
1508,Counselling Psychology in Singapore,"Evaluate the essential components of the counselling process
Appraise the theories in counselling and psychotherapy
Analyse the basics of counselling applied to specific settings such as the individual, couple, family, group, and school in the Singapore context
Design optimal counselling treatment plans customised to achieving their therapy goals
Apply and practice basic skills and interventions essential in counselling in Singapore
Conduct a comprehensive intake interview to understand client’s needs",Singapore University Of Social Sciences,1461,0,Part time,3-5 days,21,1,,,2024
1509,Performance Psychology,"Analyse the factors that contribute to performance anxiety and the theoretical models that explain performance anxiety
Evaluate how decision-making is influenced under pressure
Appraise the role of confidence and resilience in peak performance
Apply understanding of peak performance across different fields in life
Design strategies to manage stress and enhance well-being
Develop mental skills for performance enhancement",Singapore University Of Social Sciences,1461,0,Part Time,3-5 days,18,,,,2024
1510,Psychology of Nonverbal Behaviours,"Analyse the role of nonverbal behaviours in understanding motivations, intentions, and behaviours
Recognise the importance of nonverbal communication in a variety of context
Appraise key research approaches and theoretical perspectives in nonverbal behaviours
Identify nonverbal behaviours quickly, accurately, and reliably across different social contexts
Analyse the literature on nonverbal communication
Apply the theories and concepts of nonverbal behaviours to improve communication in different social settings",Singapore University Of Social Sciences,1461,0,Part Time,3-5 days,18,,,,2024
1511,Health and Wellness Coaching,"Evaluate the role of health and wellness coaches
Assess personality styles and character strengths and how this impacts the coaching relationship
Examine the role of motivational interviewing in health coaching
Apply the principles and theories of health promotion and health behaviour change
Formulate strategies to engage clients with low health literacy
Demonstrate core relationship-based coaching skills
Design strategies to work with clients in different stages of change",Singapore University Of Social Sciences,1461,0,Part Time,3-5 days,24,,,,2024
1512,Mental Health and Well-being in Singapore,"Explain the mental health continuum.
Identify the common mental health conditions in Singapore.
Describe the factors that influence mental health and well-being in the Singapore context.
Appraise how and why people seek help for mental health issues in Singapore.
Demonstrate basic competencies of group facilitation.
Practice the skills needed to interact with people with mental health conditions.",Singapore University Of Social Sciences,1461,0,Part Time,3-5 days,24,,,,2024
1513,NSA - Mind your Body - Bone Health,To gain an understanding of Bone Health for women,Society For Wings,100,0,Part Time,1-2 days,4,13,10,4.4,2024
1514,Dementia: Creating Meaningful Engagements,"• Understanding Dementia
• Learn Simple &amp; Stress-free Engagement Techniques
• Understand concept of cognitive stimulation",Sree Narayana Mission (Singapore),210,0,Part time,1-2 days,2.5,,,,2024
1515,Basic Care for Seniors at Home,"• Learn to take basic vital signs and using of blood glucose monitoring
• Correct technique for administering Insulin
• Learn about types of medication commonly prescribed to seniors.
• Guidelines for preparing Thickener",Sree Narayana Mission (Singapore),210,0,Full Time and Part Time,1-2 days,2.5,,,,2024
1516,"Infection Control, Hygiene & Comfort of Older Person","• Understand the important of hygiene and infection control
• Perform the steps of hand hygiene
• Evaluate and assess the pain levels of older individuals using a 'Pain Chart.'
• Perform measurement of vital signs
• Understand the 5 Rights of administering medication
• Enhance the quality of life for older persons by facilitating and engaging older person with meaningful activities.",St Luke'S Eldercare Ltd.,60,0,Part time,1-2 days,2.5,,,,2024
1517,The Physical Health of Older Person & Environment Safety,"• Recognize and articulate the physical health benefits of exercises.
• Understand the importance of regular repositioning to maintain skin integrity.
• Comprehend the principles of ABC biomechanics to ensure safe and efficient movement.
• Demonstrate the ability to settle an older person who has experienced a fall.
• Demonstrate the ability to stand in the correct position and walk at an appropriate pace when assisting an older person with mobility challenges.
• Recognize and differentiate various walking aids, including quad-sticks, walking frames, and wheelchairs.",St Luke'S Eldercare Ltd.,80,0,Part time,1-2 days,3.5,,,,2024
1518,Intervention Implementation,"This course is an integral part of care delivery in any healthcare setting. With a growing number of elders requiring health services, the need for well trained staff has risen. To provide quality care, staff need to be equipped with understanding of care plans, ability to execute plans and recognize clients'/patients' performance to provide feedback.

Learners are expected to use different approaches in monitoring elders during ICP activities. In addition, learners will be involved in discussion on how to apply monitoring skills across various settings.",St Luke'S Eldercare Ltd.,560,0,Part time,3-5 days,16,,,,2024
